5.1,3.5,1.4,0.2,	0.110873,
4.9,3,1.4,0.2,	0.129898,
4.7,3.2,1.3,0.2,	0.122041,
4.6,3.1,1.5,0.2,	0.13867,
5,3.6,1.4,0.2,	0.109818,
5.4,3.9,1.7,0.4,	0.115865,
4.6,3.4,1.4,0.3,	0.127047,
5,3.4,1.5,0.2,	0.120552,
4.4,2.9,1.4,0.2,	0.144317,
4.9,3.1,1.5,0.1,	0.127988,
5.4,3.7,1.5,0.2,	0.104985,
4.8,3.4,1.6,0.2,	0.129894,
4.8,3,1.4,0.1,	0.127764,
4.3,3,1.1,0.1,	0.121527,
5.8,4,1.2,0.2,	0.0809312,
5.7,4.4,1.5,0.4,	0.0897348,
5.4,3.9,1.3,0.4,	0.0978051,
5.1,3.5,1.4,0.3,	0.114481,
5.7,3.8,1.7,0.3,	0.109801,
5.1,3.8,1.5,0.3,	0.110757,
5.4,3.4,1.7,0.2,	0.123331,
5.1,3.7,1.5,0.4,	0.117291,
4.6,3.6,1,0.2,	0.098678,
5.1,3.3,1.7,0.5,	0.146311,
4.8,3.4,1.9,0.2,	0.147949,
5,3,1.6,0.2,	0.139411,
5,3.4,1.6,0.4,	0.134281,
5.2,3.5,1.5,0.2,	0.113902,
5.2,3.4,1.4,0.2,	0.111938,
4.7,3.2,1.6,0.2,	0.138915,
7,3.2,4.7,1.4,	0.559723,
6.4,3.2,4.5,1.5,	0.583351,
6.9,3.1,4.9,1.5,	0.656683,
5.5,2.3,4,1.3,	0.63937,
6.5,2.8,4.6,1.5,	0.6636,
5.7,2.8,4.5,1.3,	0.676041,
6.3,3.3,4.7,1.6,	0.650295,
4.9,2.4,3.3,1,	0.45876,
6.6,2.9,4.6,1.3,	0.597066,
5.2,2.7,3.9,1.4,	0.599076,
5,2,3.5,1,	0.546394,
5.9,3,4.2,1.5,	0.583871,
6,2.2,4,1,	0.549793,
6.1,2.9,4.7,1.4,	0.696185,
5.6,2.9,3.6,1.3,	0.453213,
6.7,3.1,4.4,1.4,	0.528849,
5.6,3,4.5,1.5,	0.696069,
5.8,2.7,4.1,1,	0.521253,
6.2,2.2,4.5,1.5,	0.77461,
5.6,2.5,3.9,1.1,	0.536686,
5.9,3.2,4.8,1.8,	0.788901,
6.1,2.8,4,1.3,	0.511359,
6.3,2.5,4.9,1.5,	0.837038,
6.1,2.8,4.7,1.2,	0.669708,
6.4,2.9,4.3,1.3,	0.541288,
6.6,3,4.4,1.4,	0.551369,
6.8,2.8,4.8,1.4,	0.667763,
6.7,3,5,1.7,	0.772346,
6,2.9,4.5,1.5,	0.67056,
5.7,2.6,3.5,1,	0.41782,
6.3,3.3,6,2.5,	1.44642,
5.8,2.7,5.1,1.9,	1.05464,
7.1,3,5.9,2.1,	1.1857,
6.3,2.9,5.6,1.8,	1.10763,
6.5,3,5.8,2.2,	1.27955,
7.6,3,6.6,2.1,	1.44615,
4.9,2.5,4.5,1.7,	0.933479,
7.3,2.9,6.3,1.8,	1.26221,
6.7,2.5,5.8,1.8,	1.2414,
7.2,3.6,6.1,2.5,	1.23715,
6.5,3.2,5.1,2,	0.868077,
6.4,2.7,5.3,1.9,	1.04605,
6.8,3,5.5,2.1,	1.05692,
5.7,2.5,5,2,	1.11094,
5.8,2.8,5.1,2.4,	1.19568,
6.4,3.2,5.3,2.3,	1.04798,
6.5,3,5.5,1.8,	1.00902,
7.7,3.8,6.7,2.2,	1.27245,
7.7,2.6,6.9,2.3,	1.83393,
6,2.2,5,1.5,	0.981547,
6.9,3.2,5.7,2.3,	1.14231,
5.6,2.8,4.9,2,	1.00873,
7.7,2.8,6.7,2,	1.50502,
6.3,2.7,4.9,1.8,	0.874979,
6.7,3.3,5.7,2.1,	1.08221,
7.2,3.2,6,1.8,	1.06083,
6.2,2.8,4.8,1.8,	0.831691,
6.1,3,4.9,1.8,	0.838049,
6.4,2.8,5.6,2.1,	1.22127,
7.2,3,5.8,1.6,	0.966021,
